date,day_of_week,month,or_size,gap_points,gap_direction,volume_ratio,signal_strength,regime,prev_day_result,entry_time,direction,pnl,win_loss,consecutive_losses_before,consecutive_wins_before,market_atr,drawdown_at_entry,exit_reason,points_captured
2023-09-12,Tuesday,9,60.75,-59.88,-1,0.328,45,breakout,loss,10:30,short,-625.0,0,3,0,151.54,1.25,stop,-31.0
2023-09-13,Wednesday,9,68.25,28.38,1,0.237,75,breakout,loss,10:42,long,-625.0,0,4,0,154.16,2.5,stop,-31.0
2023-10-04,Wednesday,10,85.5,62.25,1,0.904,80,breakout,loss,10:41,long,-625.0,0,5,0,260.75,0.0,stop,-31.0
2023-10-18,Wednesday,10,73.25,-80.88,-1,1.229,90,breakout,loss,10:36,short,-625.0,0,6,0,249.69,1.25,stop,-31.0
2023-10-20,Friday,10,74.75,-23.62,-1,1.216,94,breakout,loss,10:11,short,1185.0,1,7,0,251.91,2.5,target,59.5
2023-10-24,Tuesday,10,75.0,81.5,1,1.062,80,breakout,win,10:29,long,-625.0,0,0,1,255.64,0.13,stop,-31.0
2023-10-25,Wednesday,10,122.75,-195.38,-1,1.412,78,breakout,loss,09:45,short,-625.0,0,1,0,255.39,1.38,stop,-31.0
2023-10-31,Tuesday,10,102.0,-40.75,-1,0.898,66,breakout,loss,09:52,short,-625.0,0,2,0,244.68,2.63,stop,-31.0
2023-11-07,Tuesday,11,63.25,27.12,1,1.036,74,breakout,loss,09:56,long,1185.0,1,3,0,173.31,0.0,target,59.5
2023-11-10,Friday,11,75.25,84.62,1,0.976,74,breakout,win,09:55,long,-625.0,0,0,1,175.61,0.0,stop,-31.0
2023-11-14,Tuesday,11,65.0,274.0,1,1.476,84,breakout,loss,09:58,long,-625.0,0,1,0,183.72,1.22,stop,-31.0
2023-11-30,Thursday,11,91.5,-25.25,-1,1.436,86,breakout,loss,10:00,short,-625.0,0,2,0,138.46,2.44,stop,-31.0
2023-12-07,Thursday,12,75.0,125.75,1,1.154,90,breakout,loss,10:21,long,-625.0,0,3,0,191.0,0.0,stop,-31.0
2024-01-03,Wednesday,1,60.75,-112.88,-1,1.25,74,breakout,loss,10:12,short,-625.0,0,4,0,0.0,0.0,stop,-31.0
2024-01-05,Friday,1,56.75,20.38,1,0.9,64,breakout,loss,10:01,long,1185.0,1,5,0,176.75,1.25,target,59.5
2024-01-17,Wednesday,1,109.75,-181.38,-1,1.352,86,breakout,win,09:47,short,-625.0,0,0,1,185.45,0.0,stop,-31.0
2024-01-18,Thursday,1,59.5,157.5,1,1.242,80,breakout,loss,10:37,long,-625.0,0,1,0,186.31,1.24,stop,-31.0
2024-01-24,Wednesday,1,58.0,117.5,1,0.933,70,breakout,loss,10:15,long,1185.0,1,2,0,186.36,2.47,target,59.5
2024-01-31,Wednesday,1,71.25,-205.62,-1,0.955,74,breakout,win,10:13,short,1185.0,1,0,1,175.25,0.13,target,59.5
2024-02-02,Friday,2,113.25,95.88,1,1.543,76,breakout,win,09:45,long,-625.0,0,0,2,0.0,0.0,stop,-31.0
2024-02-07,Wednesday,2,55.25,86.38,1,0.913,64,breakout,loss,10:13,long,1185.0,1,1,0,224.38,1.25,target,59.5
2024-02-14,Wednesday,2,76.0,104.75,1,1.109,90,breakout,win,10:19,long,-625.0,0,0,1,197.08,0.0,stop,-31.0
2024-02-22,Thursday,2,55.5,360.75,1,1.417,74,breakout,loss,09:45,long,-625.0,0,1,0,187.61,1.24,stop,-31.0
